Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.0084255, 0.00178294, 0.00410227, 0.00437371, 93629, 15629, 928158
0.0098839, 0.00185994, 0.00378404, 0.00417187, 91100, 17285, 985968
0.00885336, 0.0019547, 0.00430523, 0.00453169, 94321, 19228, 1.10503e+06
0.00872443, 0.00193114, 0.00409463, 0.00434448, 96360, 19693, 1.03049e+06
0.00896164, 0.00189883, 0.00327202, 0.0036879, 94397, 17736, 796671
0.00678609, 0.00173985, 0.00288603, 0.00310857, 88807, 16186, 696549
0.00829146, 0.00156159, 0.0024772, 0.0034743, 84426, 14351, 748332
0.0058168, 0.00147367, 0.00244733, 0.00257771, 81666, 13312, 546858
0.00980625, 0.00156562, 0.00254712, 0.00441152, 83126, 13370, 917088
0.00762712, 0.00155139, 0.00267443, 0.00263075, 85559, 14479, 580437
0.0056158, 0.00154018, 0.00232429, 0.00251256, 85422, 14610, 549195
0.00696029, 0.00154743, 0.00305877, 0.00258312, 83516, 14595, 413157
0.00532656, 0.00163046, 0.00226648, 0.00226953, 82505, 14468, 473181
0.00594516, 0.00162615, 0.00224657, 0.00207322, 80976, 14909, 417708
0.00655098, 0.00160238, 0.0025071, 0.00240629, 81435, 15688, 511188
0.00604011, 0.00197708, 0.0028866, 0.00248912, 83432, 16790, 507252
0.00880233, 0.00183652, 0.00312192, 0.00314293, 84358, 17836, 692613
0.00654667, 0.00184292, 0.00293936, 0.00289742, 84127, 17975, 624963
0.00837079, 0.00169782, 0.00274272, 0.00337355, 83973, 17941, 773424
0.00662945, 0.00185648, 0.00255148, 0.0028828, 82657, 17544, 679575
0.00609515, 0.00161482, 0.00265487, 0.00271746, 79212, 16789, 610326
0.00853536, 0.0015271, 0.0023672, 0.00372818, 76702, 15537, 831234
0.00830138, 0.00148119, 0.00235879, 0.00439004, 76965, 14210, 1.10737e+06
0.0100078, 0.00144261, 0.00202355, 0.00443014, 73640, 12318, 963705
0.00774019, 0.00141943, 0.00217992, 0.0039686, 71439, 11106, 957309
0.00689969, 0.00143966, 0.00193777, 0.00335952, 79784, 10355, 834555
0.00724095, 0.0012768, 0.00184848, 0.00373285, 72700, 9752, 958539
0.00585642, 0.00121512, 0.00163832, 0.00282094, 68835, 8921, 712539
0.00625167, 0.00113942, 0.00147267, 0.00317573, 66472, 8041, 826929
0.00519875, 0.000991351, 0.00140692, 0.00253744, 57672, 7413, 586095
0.00666235, 0.000694653, 0.00115029, 0.00302258, 34194, 6587, 767274
0.00553928, 0.000538707, 0.00104876, 0.00316995, 19430, 5856, 796671
0.00449222, 0.000442252, 0.000969848, 0.00258349, 14384, 5112, 647472
0.00385944, 0.000356008, 0.000744251, 0.00215796, 11898, 4541, 543660
